OBJECTID,ZIP,NAME,ZIPTYPE,STATE,STATEFIPS,COUNTYFIPS,COUNTYNAME,S3DZIP,LAT,LON,EMPTYCOL,TOTRESCNT,MFDU,SFDU,BOXCNT,BIZCNT,RELVER,COLOR,GlobalID,SHAPESTArea,SHAPESTLength
65802,15044,GIIBSONIA,NON-UNIQUE,PA,42,42003,ALLEGHENY,,,,,,,,,,,,{D92CD13C-648F-40A4-B132-BFF18ED5815E},1102377737.73328,253447.374374862
65803,15126,IMPERIAL,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.4070605,-80.17620598, ,3084,294,2663,127,235,1.9.3,15,{4998C6D3-5E2D-4AFF-8C47-221296CBF8BE},1.62750244140625,1012.46209487509
65805,15071,OAKDALE,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.4070605,-80.17620598, ,4325,0,4245,80,319,1.9.3,12,{5354B652-21DA-44BF-B7DE-02984BD30832},451068990.64209,220766.804064604
65806,15135,MCKEESPORT,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.30216627,-79.81469332, ,2192,280,1879,33,93,1.9.3,5,{908E41AE-74A0-47D8-ACC9-BEB79B2DDB08},103769.157989502,1412.4689513709
65807,15126,IMPERIAL,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.4070605,-80.17620598, ,3084,294,2663,127,235,1.9.3,15,{9FF8C7A6-3EB0-4AC2-A23D-ECB5D383BD17},141.081848144531,249.774507094214
65808,15208,PITTSBURGH,NON-UNIQUE,PA,,,,,,,,,,,,,,,{1E4F943C-EA5B-4618-9BD8-91301E733A66},41418169.6239014,42740.0206614233
65809,15222,PITTSBURGH,NON-UNIQUE,PA,,,,,,,,,,,,,,,{E282E9C5-F0FA-4309-8EB9-A262A84EF732},32440064.0864563,41453.4558664802
65810,15108,CORAOPOLIS,NON-UNIQUE,,,,,,,,,,,,,,,,{30C6DF96-2E72-4A5E-8D90-F2B220B36A94},1005397744.88623,280293.711055183
65811,15014,BRACKENRIDGE,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.60796437,-79.74083155, ,1493,59,1396,38,76,1.9.3,5,{EE6A150D-8ABF-4970-A1F3-C42222239369},0.80474853515625,7.62778952901111
65812,15003,,,,,,,,,,,,,,,,,,{26DC86AD-2A31-44F9-B9FD-2AA2F1223388},1670209.49365234,7144.26569509905
65813,15140,PITCAIRN,NON-UNIQUE,,,,,,,,,,,,,,,,{2D1C07C0-DBD1-4669-8EA9-B8D5274F5E1F},15889820.8494263,31178.421426678
65814,15024,CHESWICK,NON-UNIQUE,,,,,,,,,,,,,,,,{4B4F5D48-E076-4CAF-A08D-2EFD507FFEB5},481986640.929321,209962.795802087
65815,15206,PITTSBURGH,NON-UNIQUE,,,,,,,,,,,,,,,,{54E05A51-0AA5-4929-AA61-3EA8777C138A},139036254.984192,79093.4489221626
65816,15037,ELIZABETH,NON-UNIQUE,,,,,,,,,,,,,,,,{9AA90FE0-E9D7-41DF-8A40-2D80A3C9682D},737051366.360962,219517.94116992
65817,15212,PITTSBURGH,NON-UNIQUE,,,,,,,,,,,,,,,,{B1F6B1DA-2960-44B9-A010-36442886D96A},174695495.03656,143149.588852881
65818,15031,CUDDY,NON-UNIQUE,,,,,,,,,,,,,,,,{C27E7FCB-A9FD-4048-A3DC-DACCFAD3E233},26467561.1529541,53107.0358135038
65819,15101,ALLISON PARK,NON-UNIQUE,,,,,,,,,,,,,,,,{D32A2691-6F39-4658-B928-5C21DE015DC7},563607744.674133,208924.983776493
65820,15201,PITTSBURGH,NON-UNIQUE,,,,,,,,,,,,,,,,{DC3F0712-5F19-40C2-9DEF-5F77746BF43F},79551425.75354,58577.6114629239
65821,15106,CARNEGIE,NON-UNIQUE,,,,,,,,,,,,,,,,{E662DE05-3A97-44D2-B8E1-E8EC1C3A6F00},275817398.389099,127095.452264883
65822,15057,MCDONALD,NON-UNIQUE,,,,,,,,,,,,,,,,{FF617B78-FED0-4E6D-B65E-35E474B5C2C4},524353751.626129,252281.980520234
